date,month,day,n_total,n_agree,agreement_pct
2025-01-01,1,1,1440,1427,99.097
2025-01-02,1,2,1440,1381,95.903
2025-01-03,1,3,1440,1381,95.903
2025-01-04,1,4,1440,1427,99.097
2025-01-05,1,5,1440,1120,77.778
2025-01-06,1,6,1440,1333,92.569
2025-01-07,1,7,1440,1378,95.694
2025-01-08,1,8,1440,1319,91.597
2025-01-09,1,9,1440,1097,76.181
2025-01-10,1,10,1432,1403,97.975
2025-01-11,1,11,1440,1406,97.639
2025-01-12,1,12,1440,1440,100.000
2025-01-13,1,13,1440,1440,100.000
2025-01-14,1,14,1440,1430,99.306
2025-01-15,1,15,1440,1421,98.681
2025-01-16,1,16,1440,1440,100.000
2025-01-17,1,17,1440,1440,100.000
2025-01-18,1,18,1440,1440,100.000
2025-01-19,1,19,1440,1430,99.306
2025-01-20,1,20,1440,1440,100.000
2025-01-21,1,21,1440,1440,100.000
2025-01-22,1,22,1440,1413,98.125
2025-01-23,1,23,1440,1370,95.139
2025-01-24,1,24,1440,1267,87.986
2025-01-25,1,25,1440,1298,90.139
2025-01-26,1,26,1440,1333,92.569
2025-01-27,1,27,1431,1388,96.995
2025-01-28,1,28,1440,1435,99.653
2025-01-29,1,29,1440,1367,94.931
2025-01-30,1,30,1440,1278,88.750
2025-01-31,1,31,1440,1440,100.000
2025-02-01,2,1,1440,1440,100.000
2025-02-02,2,2,1440,1437,99.792
2025-02-03,2,3,1440,1440,100.000
2025-02-04,2,4,1440,1440,100.000
2025-02-05,2,5,1440,1344,93.333
2025-02-06,2,6,1440,1425,98.958
2025-02-07,2,7,1440,1440,100.000
2025-02-08,2,8,1440,1440,100.000
2025-02-09,2,9,1440,1435,99.653
2025-02-10,2,10,1440,1357,94.236
2025-02-11,2,11,1440,1440,100.000
2025-02-12,2,12,1440,1440,100.000
2025-02-13,2,13,1440,1356,94.167
2025-02-14,2,14,599,599,100.000
2025-02-24,2,24,510,457,89.608
2025-02-25,2,25,1440,1425,98.958
2025-02-26,2,26,1440,1344,93.333
2025-02-27,2,27,1440,1393,96.736
2025-02-28,2,28,1440,1397,97.014
2025-03-01,3,1,1440,1440,100.000
2025-03-02,3,2,1440,1401,97.292
2025-03-03,3,3,1440,1439,99.931
2025-03-04,3,4,1440,1439,99.931
2025-03-05,3,5,1440,1439,99.931
2025-03-06,3,6,1440,1440,100.000
2025-03-07,3,7,1440,1431,99.375
2025-03-08,3,8,1440,1355,94.097
2025-03-09,3,9,1440,1440,100.000
2025-03-10,3,10,1440,1440,100.000
2025-03-11,3,11,1440,1406,97.639
2025-03-12,3,12,1440,1427,99.097
2025-03-13,3,13,1440,1440,100.000
2025-03-14,3,14,1440,1438,99.861
2025-03-15,3,15,1440,1440,100.000
2025-03-16,3,16,1440,1440,100.000
2025-03-17,3,17,1440,1419,98.542
2025-03-18,3,18,1440,1440,100.000
2025-03-19,3,19,1440,1440,100.000
2025-03-20,3,20,1440,1440,100.000
2025-03-21,3,21,1440,1438,99.861
2025-03-22,3,22,1440,1375,95.486
2025-03-23,3,23,1440,1386,96.250
2025-03-24,3,24,1440,1420,98.611
2025-03-25,3,25,1440,1397,97.014
2025-03-26,3,26,1440,1370,95.139
2025-03-27,3,27,1440,1437,99.792
2025-03-28,3,28,1440,1438,99.861
2025-03-29,3,29,1440,1440,100.000
2025-03-30,3,30,1440,1394,96.806
2025-03-31,3,31,1440,1440,100.000
2025-04-01,4,1,1440,1439,99.931
2025-04-02,4,2,1440,1440,100.000
2025-04-03,4,3,1440,1440,100.000
2025-04-04,4,4,1440,1438,99.861
2025-04-05,4,5,1440,1440,100.000
2025-04-06,4,6,1440,1427,99.097
2025-04-07,4,7,1440,1432,99.444
2025-04-08,4,8,1440,1440,100.000
2025-04-09,4,9,1440,1440,100.000
2025-04-10,4,10,1440,1440,100.000
2025-04-11,4,11,1440,1439,99.931
2025-04-12,4,12,1440,1438,99.861
2025-04-13,4,13,1440,1397,97.014
2025-04-14,4,14,1440,1437,99.792
2025-04-15,4,15,1440,1178,81.806
2025-04-16,4,16,1440,1306,90.694
2025-04-17,4,17,1440,1292,89.722
2025-04-18,4,18,1440,1364,94.722
2025-04-19,4,19,1440,1440,100.000
2025-04-20,4,20,1440,1412,98.056
2025-04-21,4,21,1440,1423,98.819
2025-04-22,4,22,1440,1424,98.889
2025-04-23,4,23,1440,1322,91.806
2025-04-24,4,24,1440,1329,92.292
2025-04-25,4,25,1440,1418,98.472
2025-04-26,4,26,1440,1439,99.931
2025-04-27,4,27,1440,1261,87.569
2025-04-28,4,28,1440,1440,100.000
2025-04-29,4,29,1440,1440,100.000
2025-04-30,4,30,1440,1438,99.861
2025-05-01,5,1,1439,1437,99.861
2025-05-02,5,2,1439,1437,99.861
2025-05-03,5,3,1439,1359,94.441
2025-05-04,5,4,1439,1428,99.236
2025-05-05,5,5,1439,1439,100.000
2025-05-06,5,6,1439,1438,99.931
2025-05-07,5,7,1439,1439,100.000
2025-05-08,5,8,1439,1439,100.000
2025-05-09,5,9,1439,1437,99.861
2025-05-10,5,10,1439,1435,99.722
2025-05-11,5,11,1439,1235,85.823
2025-05-12,5,12,1439,1282,89.090
2025-05-13,5,13,1439,1330,92.425
2025-05-14,5,14,1439,1350,93.815
2025-05-15,5,15,1439,1436,99.792
2025-05-16,5,16,1439,1248,86.727
2025-05-17,5,17,1439,1393,96.803
2025-05-18,5,18,1439,1335,92.773
2025-05-19,5,19,1439,1438,99.931
2025-05-20,5,20,1439,1333,92.634
2025-05-21,5,21,1439,1391,96.664
2025-05-22,5,22,1439,1427,99.166
2025-05-23,5,23,1439,1429,99.305
2025-05-24,5,24,1439,1037,72.064
2025-05-25,5,25,1439,1124,78.110
2025-05-26,5,26,1439,1413,98.193
2025-05-27,5,27,1439,1299,90.271
2025-05-28,5,28,1439,1352,93.954
2025-05-29,5,29,1440,1415,98.264
2025-05-30,5,30,1440,1440,100.000
2025-05-31,5,31,1439,1413,98.193
2025-06-01,6,1,1440,1327,92.153
2025-06-02,6,2,1440,1373,95.347
2025-06-03,6,3,1440,1439,99.931
2025-06-04,6,4,1440,1419,98.542
2025-06-05,6,5,1440,1379,95.764
2025-06-06,6,6,1440,1384,96.111
2025-06-07,6,7,1440,1297,90.069
2025-06-08,6,8,1440,1401,97.292
2025-06-09,6,9,1440,1434,99.583
2025-06-10,6,10,1440,1430,99.306
2025-06-11,6,11,1440,1438,99.861
2025-06-12,6,12,1440,1431,99.375
2025-06-13,6,13,1440,1430,99.306
2025-06-14,6,14,1440,1413,98.125
2025-06-15,6,15,1440,1423,98.819
2025-06-16,6,16,1440,1438,99.861
2025-06-17,6,17,1440,1440,100.000
2025-06-18,6,18,1440,1433,99.514
2025-06-19,6,19,1440,1438,99.861
2025-06-20,6,20,1440,1394,96.806
2025-06-21,6,21,1440,1400,97.222
2025-06-22,6,22,1440,1404,97.500
2025-06-23,6,23,1440,1208,83.889
2025-06-24,6,24,1440,1409,97.847
2025-06-25,6,25,1440,1437,99.792
2025-06-26,6,26,1440,1414,98.194
2025-06-27,6,27,1440,1421,98.681
2025-06-28,6,28,1440,1440,100.000
2025-06-29,6,29,1440,1439,99.931
2025-06-30,6,30,1440,1440,100.000
2025-07-01,7,1,1440,1440,100.000
2025-07-02,7,2,1440,1365,94.792
2025-07-03,7,3,1440,1439,99.931
2025-07-04,7,4,1438,1435,99.791
