date,month,day,n_total,n_agree,agreement_pct
2025-02-12,2,12,16,16,100.000
2025-02-13,2,13,708,708,100.000
2025-02-14,2,14,599,599,100.000
2025-02-24,2,24,514,421,81.907
2025-02-25,2,25,1440,1422,98.750
2025-02-26,2,26,1440,1278,88.750
2025-02-27,2,27,1440,1350,93.750
2025-02-28,2,28,1440,1369,95.069
2025-03-01,3,1,1440,1440,100.000
2025-03-02,3,2,1440,1401,97.292
2025-03-03,3,3,1440,1440,100.000
2025-03-04,3,4,1440,1440,100.000
2025-03-05,3,5,1440,1439,99.931
2025-03-06,3,6,1440,1440,100.000
2025-03-07,3,7,1440,1438,99.861
2025-03-08,3,8,1440,864,60.000
2025-03-09,3,9,1440,1362,94.583
2025-03-10,3,10,1440,1439,99.931
2025-03-11,3,11,1440,1403,97.431
2025-03-12,3,12,1440,1424,98.889
2025-03-13,3,13,1440,1440,100.000
2025-03-14,3,14,1440,1438,99.861
2025-03-15,3,15,1440,1440,100.000
2025-03-16,3,16,1440,1439,99.931
2025-03-17,3,17,1440,1419,98.542
2025-03-18,3,18,1440,1440,100.000
2025-03-19,3,19,1440,1440,100.000
2025-03-20,3,20,1440,1440,100.000
2025-03-21,3,21,1440,1439,99.931
2025-03-22,3,22,1440,1355,94.097
2025-03-23,3,23,1440,1356,94.167
2025-03-24,3,24,1440,1411,97.986
2025-03-25,3,25,1440,1374,95.417
2025-03-26,3,26,1440,1370,95.139
2025-03-27,3,27,1440,1437,99.792
2025-03-28,3,28,1440,1433,99.514
2025-03-29,3,29,1440,1440,100.000
2025-03-30,3,30,1440,1370,95.139
2025-03-31,3,31,1440,1440,100.000
2025-04-01,4,1,1440,1439,99.931
2025-04-02,4,2,1440,1440,100.000
2025-04-03,4,3,1440,1440,100.000
2025-04-04,4,4,1440,1438,99.861
2025-04-05,4,5,1440,1440,100.000
2025-04-06,4,6,1440,1438,99.861
2025-04-07,4,7,1440,1432,99.444
2025-04-08,4,8,1440,1440,100.000
2025-04-09,4,9,1440,1440,100.000
2025-04-10,4,10,1440,1440,100.000
2025-04-11,4,11,1440,1439,99.931
2025-04-12,4,12,1440,1436,99.722
2025-04-13,4,13,1440,1369,95.069
2025-04-14,4,14,1439,1437,99.861
2025-04-15,4,15,1439,1360,94.510
2025-04-16,4,16,1439,1268,88.117
2025-04-17,4,17,1439,1217,84.573
2025-04-18,4,18,1439,1335,92.773
2025-04-19,4,19,1439,1439,100.000
2025-04-20,4,20,1439,1388,96.456
2025-04-21,4,21,1439,1407,97.776
2025-04-22,4,22,1439,1406,97.707
2025-04-23,4,23,1439,1218,84.642
2025-04-24,4,24,1439,1250,86.866
2025-04-25,4,25,1439,1405,97.637
2025-04-26,4,26,1439,1438,99.931
2025-04-27,4,27,1439,1260,87.561
2025-04-28,4,28,1439,1438,99.931
2025-04-29,4,29,1439,1439,100.000
2025-04-30,4,30,1439,1439,100.000
2025-05-01,5,1,1439,1439,100.000
2025-05-02,5,2,1440,1438,99.861
2025-05-03,5,3,1440,1340,93.056
2025-05-04,5,4,1440,1422,98.750
2025-05-05,5,5,1440,1440,100.000
2025-05-06,5,6,1440,1439,99.931
2025-05-07,5,7,1440,1440,100.000
2025-05-08,5,8,1440,1440,100.000
