{'elevation': 19.0, 'canting': 7.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.90778105579833, 'frequency': 35.5, 'n': (5.205429028358611+2.7778295107639392j), 'wl': 8.444857971830986, 'prefactor': 0.054621180151764676}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,5.462082080713984e-14,5.462082080714029e-14,7.840880806610993e-08,5.4621180151764684e-14,0.0,1.0
0.02,3.495663951957576e-12,3.4956639519576052e-12,6.276830042795516e-07,3.4957555297129398e-12,5.1230111230090225e-23,1.0
0.03,3.981649366812938e-11,3.981649366812972e-11,2.1207587277335347e-06,3.981884033063644e-11,2.049204449203609e-22,1.0
0.04,2.2370489900132313e-10,2.2370489900132507e-10,5.03473909982912e-06,2.2372835390162815e-10,1.2295226695221655e-21,1.0
0.05,8.533162725823439e-10,8.53316272582351e-10,9.853025697359786e-06,8.534559398713233e-10,1.6393635593628872e-21,1.0
0.060000000000000005,2.5478060317002834e-09,2.5478060317003053e-09,1.706748642367968e-05,2.548405781160734e-09,0.0,1.0
0.06999999999999999,6.424070134321184e-09,6.424070134321238e-09,2.718066522388004e-05,6.426127223674959e-09,1.6393635593628872e-21,1.0
0.08,1.431263725280292e-08,1.431263725280304e-08,4.0708042429994045e-05,1.4318614649704201e-08,6.557454237451549e-21,1.0
0.09,2.9012618594583678e-08,2.901261859458393e-08,5.8180348950104315e-05,2.9027934601033965e-08,3.2787271187257744e-21,1.0
0.09999999999999999,5.458566928129603e-08,5.4585669281296486e-08,8.01459105892674e-05,5.462118015176465e-08,0.0,1.0
0.11,9.668878376575943e-08,9.668878376576025e-08,0.00010717308366342462,9.676475253084039e-08,1.3114908474903098e-20,1.0
0.12,1.6294594030774804e-07,1.629459403077494e-07,0.00013985275313520534,1.6309796999428686e-07,0.0,1.0
0.13,2.633583420054488e-07,2.633583420054511e-07,0.00017880087932066889,2.636460039471592e-07,1.3114908474903098e-20,1.0
0.14,4.1075326928058797e-07,4.1075326928059146e-07,0.0002246610828020216,4.112721423151978e-07,0.0,1.0
0.15000000000000002,6.212712223729008e-07,6.212712223729061e-07,0.00027810740561141564,6.221693801661951e-07,6.557454237451548e-20,1.0
0.16,9.148913579222822e-07,9.148913579222898e-07,0.00033984709755801717,9.163913375810689e-07,2.6229816949806195e-20,1.0
0.17,1.3159957669335202e-06,1.3159957669335312e-06,0.00041062344927861305,1.3184225047746509e-06,2.6229816949806195e-20,1.0
0.18000000000000002,1.8539701481985662e-06,1.8539701481985815e-06,0.0004912187577895242,1.8577878144661755e-06,5.245963389961239e-20,1.0
0.19,2.5638442787304255e-06,2.5638442787304476e-06,0.0005824574419447391,2.569701541499483e-06,1.3114908474903097e-19,1.0
0.2,3.486969025781687e-06,3.4869690257817165e-06,0.0006852090379077511,3.4957555297129404e-06,1.0491926779922478e-19,1.0
0.21000000000000002,4.671732275409895e-06,4.671732275409935e-06,0.0008003917288757047,4.68464674605905e-06,1.5737890169883718e-19,1.0
0.22,6.174310179536748e-06,6.174310179536801e-06,0.0009289753765340763,6.192944161973785e-06,0.0,1.0
0.23,8.059459680857323e-06,8.05945968085739e-06,0.0010719854886611707,8.08589496199564e-06,5.245963389961239e-20,1.0
0.24000000000000002,1.040134411419314e-05,1.0401344114193228e-05,0.0012305062373473424,1.0438270079634366e-05,1.5737890169883718e-19,1.0
0.25,1.3284402322348086e-05,1.3284402322348198e-05,0.001405684458277851,1.3335249060489423e-05,0.0,1.0
